Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2020,2020,2020,6,1,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,4039,,,,4039,,5164,,,6
H5,2020,2020,2020,6,1,1,Import,440,Lithuania,LTU,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,24296,,,,24296,,132521,,,0
H5,2020,2020,2020,6,1,2,Export,440,Lithuania,LTU,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,1584,,,,1584,,14899,,,0
H5,2020,2020,2020,6,1,1,Import,442,Luxembourg,LUX,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,25121,,,,25121,,63768,,,0
H5,2020,2020,2020,6,1,2,Export,442,Luxembourg,LUX,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,416,,,,416,,5439,,,0
H5,2020,2020,2020,6,1,1,Import,458,Malaysia,MYS,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,1656,,,,1656,,15204,,,0
H5,2020,2020,2020,6,1,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,1056788912,,,,1056788912,,314358294,,,0
H5,2020,2020,2020,6,1,1,Import,480,Mauritius,MUS,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,47,,,,47,,222,,,0
H5,2020,2020,2020,6,1,1,Import,490,"Other Asia, nes",,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,68365,,,,,,143087,,,6
H5,2020,2020,2020,6,1,2,Export,490,"Other Asia, nes",,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,642,,,,,,544,,,6
H5,2020,2020,2020,6,1,1,Import,498,Rep. of Moldova,MDA,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,24,,,,24,,212,,,6
H5,2020,2020,2020,6,1,1,Import,499,Montenegro,MNE,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,14679,,,,14679,,26924,,,0
H5,2020,2020,2020,6,1,2,Export,499,Montenegro,MNE,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,65,,,,65,,784,,,0
H5,2020,2020,2020,6,1,1,Import,516,Namibia,NAM,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,59023,,,,59023,,54886,,,0
H5,2020,2020,2020,6,1,2,Export,516,Namibia,NAM,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,90869,,,,90869,,98058,,,0
H5,2020,2020,2020,6,1,3,Re-Export,516,Namibia,NAM,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,978,,,,978,,3542,,,0
H5,2020,2020,2020,6,1,1,Import,528,Netherlands,NLD,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,190374,,,,190374,,1186164,,,6
H5,2020,2020,2020,6,1,2,Export,528,Netherlands,NLD,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,72894077,,,,72894077,,21874220,,,6
H5,2020,2020,2020,6,1,1,Import,554,New Zealand,NZL,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,1011677,,,,,,1472173,,,6
H5,2020,2020,2020,6,1,2,Export,554,New Zealand,NZL,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",1,No Quantity,0,,,,,,16864,,,6
H5,2020,2020,2020,6,1,3,Re-Export,554,New Zealand,NZL,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",1,No Quantity,0,,,,0,,10779,,,0
H5,2020,2020,2020,6,1,1,Import,579,Norway,NOR,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,42733,,,,42733,,397041,,,0
H5,2020,2020,2020,6,1,2,Export,579,Norway,NOR,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,1270,,,,1270,,25337,,,0
H5,2020,2020,2020,6,1,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,16385,,,,,,23843,,,6
H5,2020,2020,2020,6,1,1,Import,608,Philippines,PHL,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,37,,,,37,,1937,,,0
H5,2020,2020,2020,6,1,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,6337,,,,6337,,116583,,,6
H5,2020,2020,2020,6,1,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,5580126,,,,5580126,,2601599,,,6
H5,2020,2020,2020,6,1,1,Import,620,Portugal,PRT,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,9317,,,,9317,,116997,,,6
H5,2020,2020,2020,6,1,2,Export,620,Portugal,PRT,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,1522,,,,1522,,26697,,,0
H5,2020,2020,2020,6,1,1,Import,634,Qatar,QAT,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,14093,,,,14093,,302780,,,0
H5,2020,2020,2020,6,1,1,Import,642,Romania,ROU,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,3677,,,,3677,,72335,,,0
H5,2020,2020,2020,6,1,2,Export,642,Romania,ROU,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,32,,,,32,,131,,,0
H5,2020,2020,2020,6,1,1,Import,686,Senegal,SEN,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,25628,,,,25628,,18935,,,0
H5,2020,2020,2020,6,1,1,Import,688,Serbia,SRB,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,1574,,,,1574,,25253,,,6
H5,2020,2020,2020,6,1,2,Export,688,Serbia,SRB,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,1903,,,,1903,,36708,,,0
H5,2020,2020,2020,6,1,1,Import,699,India,IND,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,8523,,,,8523,,228165,,,6
H5,2020,2020,2020,6,1,2,Export,699,India,IND,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,9100,,,,9100,,22502,,,0
H5,2020,2020,2020,6,1,1,Import,702,Singapore,SGP,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,469769,,,,,,683599,,,6
H5,2020,2020,2020,6,1,2,Export,702,Singapore,SGP,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,931024,,,,,,789531,,,6
H5,2020,2020,2020,6,1,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,18957,,,,18957,,225107,,,0
H5,2020,2020,2020,6,1,2,Export,703,Slovakia,SVK,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,9494,,,,9494,,95353,,,0
H5,2020,2020,2020,6,1,1,Import,704,Viet Nam,VNM,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,151420,,,,,,220344,,,6
H5,2020,2020,2020,6,1,2,Export,704,Viet Nam,VNM,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,2040,,,,,,1730,,,6
H5,2020,2020,2020,6,1,1,Import,705,Slovenia,SVN,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,1637,,,,1637,,12104,,,0
H5,2020,2020,2020,6,1,2,Export,705,Slovenia,SVN,0,World,WLD,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,2120,,,,2120,,29797,,,0
