Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,360,Indonesia,IDN,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,13,,,,13,,2609,,,0
H5,2019,2019,2019,6,1,2,Export,381,Italy,ITA,360,Indonesia,IDN,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,32,,,,32,,4136,,,0
H5,2019,2019,2019,6,1,2,Export,528,Netherlands,NLD,360,Indonesia,IDN,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,21,,,,21,,12416,,,0
H5,2019,2019,2019,6,1,2,Export,702,Singapore,SGP,360,Indonesia,IDN,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,2180,,,,2180,,176156,,,0
H5,2019,2019,2019,6,1,2,Export,842,USA,USA,360,Indonesia,IDN,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,570,,,,570,,28348,,,0
