Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2020,2020,2020,6,1,2,Export,344,"China, Hong Kong SAR",HKG,360,Indonesia,IDN,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,1000,,,,1000,,1002,,,0
H5,2020,2020,2020,6,1,2,Export,381,Italy,ITA,360,Indonesia,IDN,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,26,,,,26,,10267,,,0
H5,2020,2020,2020,6,1,2,Export,392,Japan,JPN,360,Indonesia,IDN,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,2985,,,,,,2531,,,6
H5,2020,2020,2020,6,1,2,Export,528,Netherlands,NLD,360,Indonesia,IDN,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,2,,,,2,,660,,,0
H5,2020,2020,2020,6,1,2,Export,702,Singapore,SGP,360,Indonesia,IDN,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,173138,,,,,,146825,,,6
H5,2020,2020,2020,6,1,2,Export,842,USA,USA,360,Indonesia,IDN,,,,,,,,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",8,Weight in kilograms,123384,,,,123384,,29680,,,0
